Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,-34.166972,-33.3375,180,bottom
C2,100n,C_0402_1005Metric,-32.959472,-23.3325,90,bottom
C3,100n,C_0402_1005Metric,-39.540625,-23.3325,90,bottom
C4,100n,C_0402_1005Metric,-41.870418,-22.621932,90,bottom
C5,100n,C_0402_1005Metric,-31.353125,-32.39882,-90,bottom
C6,100n,C_0402_1005Metric,-41.571875,-31.253125,0,bottom
C7,1uF,C_0402_1005Metric,-41.571875,-30.1625,0,bottom
C8,1uF,C_0402_1005Metric,-30.956328,-5.00314,180,bottom
C9,1uF,C_0402_1005Metric,-27.979758,-8.196582,90,bottom
C10,100n,C_0402_1005Metric,-71.126158,-67.46892,0,bottom
C11,100n,C_0402_1005Metric,-275.914174,-67.846426,0,bottom
C12,220p,C_0402_1005Metric,-39.341875,-42.06875,180,bottom
C13,100n,C_0402_1005Metric,-41.571875,-32.940708,180,bottom
D1,PRTR5V0U2X,SOT-143,-34.234375,-5.95314,180,bottom
F1,500mA,Fuse_1206_3216Metric,-32.345394,-1.785942,-90,bottom
J1,JST,JST-SR-4,-66.943912,-10.91409,-90,bottom
J2,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,-33.73446,7.93752,0,bottom
JP1,BOOT0,PinHeader_1x02_P2.54mm_Vertical,-33.337584,-14.004726,180,bottom
JP2,Ext_Res,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-43.65636,-43.65636,180,bottom
R1,10k,R_0402_1005Metric,-34.131336,-34.528212,180,bottom
R2,100,R_0402_1005Metric,-34.34665,-38.893848,90,bottom
R3,100,R_0402_1005Metric,-33.156022,-38.893848,90,bottom
R4,5.1k,R_0402_1005Metric,-26.987568,5.754702,90,bottom
R5,5.1k,R_0402_1005Metric,-40.084476,5.95314,-90,bottom
R6,100,R_0402_1005Metric,-35.537278,-38.893848,-90,bottom
R7,100,R_0402_1005Metric,4.762512,-29.23132,180,bottom
R8,100,R_0402_1005Metric,-26.590692,-26.193816,90,bottom
R9,100k,R_0402_1005Metric,-27.78125,-26.19375,90,bottom
R10,10k,R_0402_1005Metric,-37.953125,-23.415625,0,bottom
R11,10k,R_0402_1005Metric,-43.109375,-30.559375,90,bottom
R12,100k,R_0402_1005Metric,-28.575072,-68.375796,-90,bottom
R13,100k,R_0402_1005Metric,-191.605794,-63.897036,0,bottom
R14,100k,R_0402_1005Metric,-9.326586,-67.582044,-90,bottom
R15,100k,R_0402_1005Metric,-210.85428,-63.301722,0,bottom
R16,100k,R_0402_1005Metric,-73.025184,-67.46892,180,bottom
R17,100k,R_0402_1005Metric,-229.904328,-63.301722,0,bottom
R18,100k,R_0402_1005Metric,-60.52359,-71.873384,-90,bottom
R19,100k,R_0402_1005Metric,-176.411382,-69.169548,-90,bottom
R20,100k,R_0402_1005Metric,-115.09404,-64.293912,0,bottom
R21,100k,R_0402_1005Metric,-281.892854,-63.50016,0,bottom
R22,100k,R_0402_1005Metric,-90.487728,-71.873384,-90,bottom
R23,100k,R_0402_1005Metric,-248.755938,-63.103284,0,bottom
R24,100k,R_0402_1005Metric,-152.995698,-64.293912,0,bottom
R25,100k,R_0402_1005Metric,-299.64138,-70.106812,-90,bottom
R26,100k,R_0402_1005Metric,-120.650304,-68.97111,-90,bottom
R27,100k,R_0402_1005Metric,-267.805986,-63.103284,0,bottom
R28,1k,R_0402_1005Metric,-41.091875,-42.465625,-90,bottom
R29,100k,R_0402_1005Metric,-43.65625,-41.955625,180,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,-36.396972,-28.48132,180,bottom
U2,XC6206PxxxMR,SOT-23,-30.361014,-7.739082,90,bottom
U3,74HC4051,TSSOP16,-73.620498,-71.040804,-90,bottom
U4,74HC4051,TSSOP16,-278.408514,-71.219872,-90,bottom
U5,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,-40.456875,-37.30625,90,bottom
Y1,8MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,-42.8625,-27.03132,90,bottom
